slot,row,column,source_file,source_frame_number,source_time_seconds,pixel_min_x,pixel_min_y,pixel_max_x,pixel_max_y,cell_width,cell_height,uv_min_x,uv_min_y,uv_max_x,uv_max_y
0,0,0,frame_0001.png,1,0.0,0,0,400,400,400,400,0.0,0.0,0.2,0.2
1,0,1,frame_0006.png,6,0.208333,400,0,800,400,400,400,0.2,0.0,0.4,0.2
2,0,2,frame_0011.png,11,0.416667,800,0,1200,400,400,400,0.4,0.0,0.6,0.2
3,0,3,frame_0016.png,16,0.625,1200,0,1600,400,400,400,0.6,0.0,0.8,0.2
4,0,4,frame_0021.png,21,0.833333,1600,0,2000,400,400,400,0.8,0.0,1.0,0.2
5,1,0,frame_0027.png,27,1.083333,0,400,400,800,400,400,0.0,0.2,0.2,0.4
6,1,1,frame_0032.png,32,1.291667,400,400,800,800,400,400,0.2,0.2,0.4,0.4
7,1,2,frame_0037.png,37,1.5,800,400,1200,800,400,400,0.4,0.2,0.6,0.4
8,1,3,frame_0042.png,42,1.708333,1200,400,1600,800,400,400,0.6,0.2,0.8,0.4
9,1,4,frame_0047.png,47,1.916667,1600,400,2000,800,400,400,0.8,0.2,1.0,0.4
10,2,0,frame_0052.png,52,2.125,0,800,400,1200,400,400,0.0,0.4,0.2,0.6
11,2,1,frame_0057.png,57,2.333333,400,800,800,1200,400,400,0.2,0.4,0.4,0.6
12,2,2,frame_0063.png,63,2.583333,800,800,1200,1200,400,400,0.4,0.4,0.6,0.6
13,2,3,frame_0068.png,68,2.791667,1200,800,1600,1200,400,400,0.6,0.4,0.8,0.6
14,2,4,frame_0073.png,73,3.0,1600,800,2000,1200,400,400,0.8,0.4,1.0,0.6
15,3,0,frame_0078.png,78,3.208333,0,1200,400,1600,400,400,0.0,0.6,0.2,0.8
16,3,1,frame_0083.png,83,3.416667,400,1200,800,1600,400,400,0.2,0.6,0.4,0.8
17,3,2,frame_0088.png,88,3.625,800,1200,1200,1600,400,400,0.4,0.6,0.6,0.8
18,3,3,frame_0093.png,93,3.833333,1200,1200,1600,1600,400,400,0.6,0.6,0.8,0.8
19,3,4,frame_0098.png,98,4.041667,1600,1200,2000,1600,400,400,0.8,0.6,1.0,0.8
20,4,0,frame_0103.png,103,4.25,0,1600,400,2000,400,400,0.0,0.8,0.2,1.0
21,4,1,frame_0109.png,109,4.5,400,1600,800,2000,400,400,0.2,0.8,0.4,1.0
22,4,2,frame_0114.png,114,4.708333,800,1600,1200,2000,400,400,0.4,0.8,0.6,1.0
23,4,3,frame_0119.png,119,4.916667,1200,1600,1600,2000,400,400,0.6,0.8,0.8,1.0
24,4,4,frame_0124.png,124,5.125,1600,1600,2000,2000,400,400,0.8,0.8,1.0,1.0
