slot,row,column,source_file,source_frame_number,source_time_seconds,pixel_min_x,pixel_min_y,pixel_max_x,pixel_max_y,cell_width,cell_height,uv_min_x,uv_min_y,uv_max_x,uv_max_y
0,0,0,frame_0001.png,1,0.0,0,0,410,410,410,410,0.0,0.0,0.2,0.2
1,0,1,frame_0004.png,4,0.125,410,0,819,410,409,410,0.2,0.0,0.4,0.2
2,0,2,frame_0007.png,7,0.25,819,0,1229,410,410,410,0.4,0.0,0.6,0.2
3,0,3,frame_0009.png,9,0.333333,1229,0,1638,410,409,410,0.6,0.0,0.8,0.2
4,0,4,frame_0012.png,12,0.458333,1638,0,2048,410,410,410,0.8,0.0,1.0,0.2
5,1,0,frame_0015.png,15,0.583333,0,410,410,819,410,409,0.0,0.2,0.2,0.4
6,1,1,frame_0018.png,18,0.708333,410,410,819,819,409,409,0.2,0.2,0.4,0.4
7,1,2,frame_0021.png,21,0.833333,819,410,1229,819,410,409,0.4,0.2,0.6,0.4
8,1,3,frame_0023.png,23,0.916667,1229,410,1638,819,409,409,0.6,0.2,0.8,0.4
9,1,4,frame_0026.png,26,1.041667,1638,410,2048,819,410,409,0.8,0.2,1.0,0.4
10,2,0,frame_0029.png,29,1.166667,0,819,410,1229,410,410,0.0,0.4,0.2,0.6
11,2,1,frame_0032.png,32,1.291667,410,819,819,1229,409,410,0.2,0.4,0.4,0.6
12,2,2,frame_0035.png,35,1.416667,819,819,1229,1229,410,410,0.4,0.4,0.6,0.6
13,2,3,frame_0037.png,37,1.5,1229,819,1638,1229,409,410,0.6,0.4,0.8,0.6
14,2,4,frame_0040.png,40,1.625,1638,819,2048,1229,410,410,0.8,0.4,1.0,0.6
15,3,0,frame_0043.png,43,1.75,0,1229,410,1638,410,409,0.0,0.6,0.2,0.8
16,3,1,frame_0046.png,46,1.875,410,1229,819,1638,409,409,0.2,0.6,0.4,0.8
17,3,2,frame_0048.png,48,1.958333,819,1229,1229,1638,410,409,0.4,0.6,0.6,0.8
18,3,3,frame_0051.png,51,2.083333,1229,1229,1638,1638,409,409,0.6,0.6,0.8,0.8
19,3,4,frame_0054.png,54,2.208333,1638,1229,2048,1638,410,409,0.8,0.6,1.0,0.8
20,4,0,frame_0057.png,57,2.333333,0,1638,410,2048,410,410,0.0,0.8,0.2,1.0
21,4,1,frame_0060.png,60,2.458333,410,1638,819,2048,409,410,0.2,0.8,0.4,1.0
22,4,2,frame_0062.png,62,2.541667,819,1638,1229,2048,410,410,0.4,0.8,0.6,1.0
23,4,3,frame_0065.png,65,2.666667,1229,1638,1638,2048,409,410,0.6,0.8,0.8,1.0
24,4,4,frame_0068.png,68,2.791667,1638,1638,2048,2048,410,410,0.8,0.8,1.0,1.0
